"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"group_4466","","hypothetical protein","1","1","1","89","45","664","1","","458","458","458","","upec-99_01062"
"group_4467","","hypothetical protein","1","1","1","76","1","683","1","","458","458","458","","upec-99_01536"
"group_4468","","hypothetical protein","1","1","1","90","6","","","","458","458","458","","upec-99_02119"
"group_4469","","hypothetical protein","1","1","1","90","689","443","2","","458","458","458","","upec-99_03104"
"entF","","Enterobactin synthase component F","1","1","1","83","16","232","1","","1412","1412","1412","","upec-99_03507"
"ydfT_1","","Qin prophage; predicted antitermination protein Q","1","1","1","48","3","563","5","","821","821","821","upec-98_00064",""
"ydfT_2","","Qin prophage; predicted antitermination protein Q","1","1","1","46","3","557","3","","821","821","821","upec-98_01137",""
"ydfT_3","","Qin prophage; predicted antitermination protein Q","1","1","1","89","94","550","3","","821","821","821","upec-98_01545",""
"ydfT_6","","Qin prophage; predicted antitermination protein Q","1","1","1","89","162","657","9","","821","821","821","upec-98_04918",""
"group_4528","","hypothetical protein","1","1","1","51","1","584","6","","461","461","461","","upec-99_00554"
"group_4529","","hypothetical protein","1","1","1","51","2","584","1","","461","461","461","","upec-99_00559"
"group_4530","","hypothetical protein","1","1","1","25","1","431","2","Investigate","461","461","461","","upec-99_00560"
"group_4531","","hypothetical protein","1","1","1","73","1","674","1","","461","461","461","","upec-99_00562"
"group_4532","","hypothetical protein","1","1","1","27","3","468","2","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","461","461","461","","upec-99_00585"
"group_4533","","hypothetical protein","1","1","1","57","6","620","1","","461","461","461","","upec-99_00588"
"group_4534","","hypothetical protein","1","1","1","58","3","614","1","","461","461","461","","upec-99_00595"
"group_4535","","hypothetical protein","1","1","1","50","1","597","6","","461","461","461","","upec-99_00602"
"group_4536","","hypothetical protein","1","1","1","64","1","651","1","","461","461","461","","upec-99_00713"
"group_4537","","hypothetical protein","1","1","1","8","1","364","2","Investigate","461","461","461","","upec-99_01047"
"group_4538","","hypothetical protein","1","1","1","67","9","655","1","","461","461","461","","upec-99_01694"
"group_4539","","hypothetical protein","1","1","1","43","3","529","1","","461","461","461","","upec-99_02163"
"group_4540","","hypothetical protein","1","1","1","91","422","64","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","461","461","461","","upec-99_04187"
"sohB_1","","putative inner membrane peptidase","1","1","1","54","7","605","7","","1505","1505","1505","upec-98_00144",""
"sohB_3","","putative inner membrane peptidase","1","1","1","89","101","626","2","","1505","1505","1505","upec-98_04771",""
"sohB_4","","putative inner membrane peptidase","1","1","1","70","9","668","5","","1505","1505","1505","upec-98_04924",""
"group_47","yeeO_2","YeeO MATE transporter","1","1","1","83","114","40","1","","434","434","434","","upec-99_03522"
"group_4745","","hypothetical protein","1","1","1","11","1","351","1","Investigate","401","401","401","upec-98_01072",""
"group_4746","","hypothetical protein","1","1","1","69","2","","","","401","401","401","upec-98_01083",""
"group_4747","","hypothetical protein","1","1","1","17","1","429","2","Investigate","401","401","401","upec-98_01092",""
"group_4748","","hypothetical protein","1","1","1","55","2","502","2","","401","401","401","upec-98_01094",""
"insL-3_1","","putative IS186/IS421 transposase","1","1","1","89","724","408","2","","1112","1112","1112","","upec-99_00742"
"insL-3_2","","putative IS186/IS421 transposase","1","1","1","91","1408","353","2","","1112","1112","1112","","upec-99_00746"
"insL-3_3","","putative IS186/IS421 transposase","1","1","1","90","22","444","2","","1112","1112","1112","","upec-99_00982"
"insL-3_4","","putative IS186/IS421 transposase","1","1","1","89","3","461","1","","1112","1112","1112","","upec-99_03528"
"insL-3_5","","putative IS186/IS421 transposase","1","1","1","91","1197","383","1","","1112","1112","1112","","upec-99_04733"
"group_4785","","hypothetical protein","1","1","1","75","9","377","1","","200","200","200","","upec-99_02449"
"flu_2","","CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter","1","1","1","12","1","438","1","Investigate","1292","1292","1292","","upec-99_04039"
"group_4807","ydfU_1","Qin prophage; predicted protein","1","1","1","48","5","563","3","","1046","1046","1046","upec-98_00066",""
"group_4808","ydfU_2","Qin prophage; predicted protein","1","1","1","46","5","557","1","","1046","1046","1046","upec-98_01139",""
"ydfU_3","","Qin prophage; predicted protein","1","1","1","89","96","550","1","","1046","1046","1046","upec-98_01543",""
"ydfU_5","","Qin prophage; predicted protein","1","1","1","89","164","657","11","","1046","1046","1046","upec-98_04916",""
"group_4835","","hypothetical protein","1","1","1","89","108","442","2","","329","329","329","upec-98_01143",""
"group_4836","","hypothetical protein","1","1","1","40","3","522","1","","329","329","329","upec-98_01708",""
"group_4837","","hypothetical protein","1","1","1","63","3","646","11","","329","329","329","upec-98_02678",""
"group_4838","","hypothetical protein","1","1","1","70","2","668","11","","329","329","329","upec-98_04935",""
"ldrC_1","","small toxic polypeptide LdrC","1","1","1","91","1611","485","3","","107","107","107","","upec-99_03048"
"ldrC_2","","small toxic polypeptide LdrC","1","1","1","91","1514","485","2","","107","107","107","","upec-99_03049"
"ldrC_3","","small toxic polypeptide LdrC","1","1","1","91","1515","485","1","","107","107","107","","upec-99_03050"
"group_5","","hypothetical protein","1","1","1","58","1","614","7","","770","770","770","","upec-99_00601"
"acrE_2","","AcrEF-TolC multidrug efflux transport system - membrane fusion protein","1","1","1","91","515","379","1","","902","902","902","","upec-99_03821"
"group_5068","","hypothetical protein","1","1","1","50","5","597","1","","923","923","923","","upec-99_00607"
"group_5069","","hypothetical protein","1","1","1","87","3","","","","923","923","923","","upec-99_00759"
"group_5070","","hypothetical protein","1","1","1","90","928","391","2","","923","923","923","","upec-99_01587"
"group_5071","","hypothetical protein","1","1","1","87","166","47","1","","923","923","923","","upec-99_01634"
"group_5072","","hypothetical protein","1","1","1","88","7","286","1","","923","923","923","","upec-99_01661"
"group_5073","","hypothetical protein","1","1","1","86","22","106","1","","923","923","923","","upec-99_01674"
"group_5074","","hypothetical protein","1","1","1","67","1","655","2","","923","923","923","","upec-99_01682"
"group_5075","","hypothetical protein","1","1","1","86","11","282","1","","923","923","923","","upec-99_01695"
"group_5076","","hypothetical protein","1","1","1","86","12","","","","923","923","923","","upec-99_01697"
"group_5077","","hypothetical protein","1","1","1","5","1","354","1","Investigate","923","923","923","","upec-99_01926"
"group_5078","","hypothetical protein","1","1","1","91","1780","421","1","","923","923","923","","upec-99_02278"
"group_5079","","hypothetical protein","1","1","1","91","524","","","","923","923","923","","upec-99_02430"
"group_5080","","hypothetical protein","1","1","1","86","26","","","","923","923","923","","upec-99_02755"
"group_5081","","hypothetical protein","1","1","1","90","3","","","","923","923","923","","upec-99_03034"
"group_5082","","hypothetical protein","1","1","1","89","600","467","1","","923","923","923","","upec-99_03134"
"group_5083","","hypothetical protein","1","1","1","91","7","454","2","","923","923","923","","upec-99_03457"
"group_5084","","hypothetical protein","1","1","1","91","514","379","2","","923","923","923","","upec-99_03820"
"group_5085","","hypothetical protein","1","1","1","87","255","9","1","","923","923","923","","upec-99_03831"
"insC-1_1","","IS2 element protein InsA","1","1","1","30","1","475","3","","365","365","365","","upec-99_00530"
"insC-1_4","","IS2 element protein InsA","1","1","1","91","1527","402","2","","365","365","365","","upec-99_02182"
"group_5134","","hypothetical protein","1","1","1","48","2","563","2","","197","197","197","upec-98_00063",""
"group_5135","","hypothetical protein","1","1","1","46","2","557","4","","197","197","197","upec-98_01136",""
"group_5136","","hypothetical protein","1","1","1","89","93","550","4","","197","197","197","upec-98_01546",""
"group_5137","","hypothetical protein","1","1","1","89","161","657","8","","197","197","197","upec-98_04919",""
"insE-1_1","","IS3 element protein InsE","1","1","1","35","2","527","4","","299","299","299","","upec-99_00525"
"insE-1_2","","IS3 element protein InsE","1","1","1","91","9","672","1","","299","299","299","","upec-99_01890"
"insE-1_3","","IS3 element protein InsE","1","1","1","89","299","506","2","","299","299","299","","upec-99_03451"
"insE-1_4","","IS3 element protein InsE","1","1","1","91","1777","481","3","","299","299","299","","upec-99_03453"
"uxuB_3","","D-mannonate oxidoreductase","1","1","1","91","1167","101","1","","914","914","914","","upec-99_04639"
"group_5234","","hypothetical protein","1","1","1","89","109","442","1","","698","698","698","upec-98_01142",""
"group_5235","","hypothetical protein","1","1","1","40","4","522","2","","698","698","698","upec-98_01707",""
"group_5236","","hypothetical protein","1","1","1","63","2","646","10","","698","698","698","upec-98_02677",""
"group_5237","","hypothetical protein","1","1","1","70","1","668","10","","698","698","698","upec-98_04936",""
"insAB-1_2","","InsAB' transposase","1","1","1","28","1","496","1","","377","377","377","upec-98_00285",""
"insAB-1_3","","InsAB' transposase","1","1","1","28","3","496","2","","377","377","377","upec-98_00287",""
"insAB-1_4","","InsAB' transposase","1","1","1","91","1169","396","1","","377","377","377","upec-98_02003",""
"group_5331","","hypothetical protein","1","1","1","91","1406","","","","269","269","269","","upec-99_00748"
"group_5332","","hypothetical protein","1","1","1","84","63","489","3","","269","269","269","","upec-99_01133"
"group_5333","","hypothetical protein","1","1","1","91","630","79","1","","269","269","269","","upec-99_01927"
"group_5339","","hypothetical protein","1","1","1","54","5","605","6","","1592","1592","1592","upec-98_00143",""
"group_5340","","hypothetical protein","1","1","1","89","102","626","3","","1592","1592","1592","upec-98_04770",""
"group_5341","","hypothetical protein","1","1","1","70","8","668","4","","1592","1592","1592","upec-98_04923",""
"nohA_1","","Qin prophage; predicted packaging protein","1","1","1","54","2","605","3","","548","548","548","upec-98_00140",""
"nohA_2","","Qin prophage; predicted packaging protein","1","1","1","89","105","626","8","","548","548","548","upec-98_04767",""
"nohA_3","","Qin prophage; predicted packaging protein","1","1","1","70","5","668","1","","548","548","548","upec-98_04920",""
"dicB_1","","Qin prophage; cell division inhibition protein","1","1","1","37","1","525","1","","188","188","188","upec-98_01087",""
"dicB_2","","Qin prophage; cell division inhibition protein","1","1","1","33","1","518","1","","188","188","188","upec-98_01099",""
"dicB_3","","Qin prophage; cell division inhibition protein","1","1","1","89","199","541","4","","188","188","188","upec-98_01530",""
"dicB_4","","Qin prophage; cell division inhibition protein","1","1","1","89","179","658","14","","188","188","188","upec-98_04891",""
"acnA_1","","aconitate hydratase 1","1","1","1","91","1683","358","2","","296","296","296","","upec-99_01787"
"group_5507","gadB_1","glutamate decarboxylase B subunit","1","1","1","88","24","432","1","","1400","1400","1400","upec-98_00845",""
"gadA","","glutamate decarboxylase A subunit","1","1","1","91","633","196","1","","1400","1400","1400","upec-98_02308",""
"yaiO_1","","outer membrane protein","1","1","1","69","11","578","2","","773","773","773","upec-98_01074",""
"yaiO_2","","outer membrane protein","1","1","1","87","294","457","1","","773","773","773","upec-98_03849",""
"ycjN_1","","YcjN/YcjO/YcjP ABC transporter","1","1","1","91","1722","436","2","","503","503","503","","upec-99_01823"
"group_5711","yhdJ_1","DNA adenine methyltransferase","1","1","1","48","1","563","1","","1058","1058","1058","upec-98_00062",""
"yhdJ_2","","DNA adenine methyltransferase","1","1","1","46","1","557","5","","1049","1049","1049","upec-98_01135",""
"hrpA_1","","ATP-dependent helicase","1","1","1","91","1788","263","1","","1403","1403","1403","","upec-99_02270"
"yaiP_1","","putative glucosyltransferase","1","1","1","83","156","617","6","","893","893","893","upec-98_03440",""
"yaiP_2","","putative glucosyltransferase","1","1","1","87","300","469","3","","893","893","893","upec-98_04015",""
"group_61","ydcR_2","fused predicted DNA-binding transcriptional regulator and predicted amino transferase","1","1","1","91","1812","301","1","","239","239","239","","upec-99_02511"
"group_62","","hypothetical protein","1","1","1","91","885","512","2","","257","257","257","upec-98_02210",""
"group_63","","hypothetical protein","1","1","1","91","884","512","3","","758","758","758","upec-98_02211",""
"group_64","","hypothetical protein","1","1","1","24","1","446","2","Investigate","1538","1538","1538","","upec-99_02501"
"yidJ_2","","putative sulfatase","1","1","1","91","617","39","1","","1064","1064","1064","upec-98_02495",""
"gyrB_1","","DNA gyrase, subunit B","1","1","1","91","861","75","1","","1160","1160","1160","","upec-99_02471"
"dcp_3","","dipeptidyl carboxypeptidase II","1","1","1","88","19","369","1","","515","515","515","","upec-99_00334"
"bglH_2","","carbohydrate-specific outer membrane porin, cryptic","1","1","1","91","608","15","1","","686","686","686","","upec-99_02660"
"agp_1","","3-phytase / glucose-1-phosphatase","1","1","1","84","7","451","2","","320","320","320","upec-98_02570",""
"yjfJ_1","","putative transcriptional regulator effector protein","1","1","1","91","321","223","1","","236","236","236","","upec-99_04036"
"yfjX_1","","CP4-57 prophage; predicted antirestriction protein","1","1","1","6","1","365","2","Investigate","479","479","479","","upec-99_00987"
"yafX_2","","CP4-6 prophage; predicted protein","1","1","1","75","25","488","2","","233","233","233","","upec-99_02122"
"group_747","insF-1_2","IS3 element protein InsF","1","1","1","61","7","643","2","","242","242","242","","upec-99_02136"
"insF-1_3","","IS3 element protein InsF","1","1","1","59","2","627","3","","242","242","242","","upec-99_02529"
"group_749","","hypothetical protein","1","1","1","47","4","571","2","","347","347","347","","upec-99_02442"
"group_750","","hypothetical protein","1","1","1","24","2","446","1","Investigate","293","293","293","","upec-99_02502"
"group_751","","hypothetical protein","1","1","1","18","1","372","1","Investigate","1043","1043","1043","upec-98_00002",""
"group_752","","hypothetical protein","1","1","1","10","1","455","2","Investigate","431","431","431","upec-98_00003",""
"group_753","","hypothetical protein","1","1","1","10","2","455","1","Investigate","164","164","164","upec-98_00004",""
"group_754","","hypothetical protein","1","1","1","15","1","334","2","Investigate","1499","1499","1499","upec-98_00005",""
"group_755","","Insertion sequence putative ATP-binding protein","1","1","1","15","2","334","1","Investigate","755","755","755","upec-98_00006",""
"yfjJ","","CP4-57 prophage; predicted protein","1","1","1","91","35","686","1","","731","731","731","upec-98_00010",""
"group_757","","hypothetical protein","1","1","1","91","36","686","2","","575","575","575","upec-98_00011",""
"group_758","","hypothetical protein","1","1","1","91","38","686","4","","125","125","125","upec-98_00013",""
"group_759","insC-1_1","IS2 element protein InsA","1","1","1","91","39","686","43","","290","290","290","upec-98_00014",""
"thrC_1","","threonine synthase","1","1","1","91","1196","332","1","","353","353","353","","upec-99_04720"
"acrD_1","","AcrAD-TolC multidrug efflux transport system - permease subunit","1","1","1","91","40","686","42","","1064","1064","1064","upec-98_00015",""
"acrR_1","","AcrR DNA-binding transcriptional repressor","1","1","1","91","41","686","41","","350","350","350","upec-98_00016",""
"soxS_1","","SoxS DNA-binding transcriptional dual regulator","1","1","1","91","42","686","40","","209","209","209","upec-98_00017",""
"eutM_1","","putative structural protein, ethanolamine utilization microcompartment","1","1","1","91","43","686","39","","545","545","545","upec-98_00018",""
"metK_1","","methionine adenosyltransferase","1","1","1","91","44","686","38","","1151","1151","1151","upec-98_00019",""
"yijO_1","","putative DNA-binding transcriptional regulator","1","1","1","91","45","686","37","","1055","1055","1055","upec-98_00020",""
"group_766","ypdA_1","putative sensory kinase in two-component system with YpdB","1","1","1","91","46","686","36","","1229","1229","1229","upec-98_00021",""
"group_767","","hypothetical protein","1","1","1","91","47","686","35","","188","188","188","upec-98_00022",""
"group_768","","hypothetical protein","1","1","1","91","48","686","34","","482","482","482","upec-98_00023",""
"group_769","","hypothetical protein","1","1","1","91","49","686","33","","539","539","539","upec-98_00024",""
"group_770","","hypothetical protein","1","1","1","91","50","686","32","","905","905","905","upec-98_00025",""
"ybiY_1","","putative pyruvate formate lyase activating enzyme","1","1","1","91","51","686","31","","917","917","917","upec-98_00026",""
"ybiW_1","","putative pyruvate formate lyase","1","1","1","91","52","686","30","","2552","2552","2552","upec-98_00027",""
"yhbO_1","","protein involved in stress response","1","1","1","91","53","686","29","","575","575","575","upec-98_00028",""
"group_774","","hypothetical protein","1","1","1","91","54","686","28","","254","254","254","upec-98_00029",""
"eutE_1","","putative aldehyde dehydrogenase, ethanolamine utilization protein","1","1","1","91","55","686","27","","1517","1517","1517","upec-98_00030",""
"pduB","","Propanediol utilization protein PduB","1","1","1","91","56","686","26","","785","785","785","upec-98_00031",""
"eutM_2","","putative structural protein, ethanolamine utilization microcompartment","1","1","1","91","57","686","25","","281","281","281","upec-98_00032",""
"tdcD_1","","propionate kinase","1","1","1","91","58","686","24","","1196","1196","1196","upec-98_00033",""
"group_779","","hypothetical protein","1","1","1","91","59","686","23","","497","497","497","upec-98_00034",""
"secA_2","","Sec Translocation Complex","1","1","1","91","1322","110","1","","923","923","923","","upec-99_04496"
"eutN_1","","putative carboxysome structural protein","1","1","1","91","60","686","22","","269","269","269","upec-98_00035",""
"group_781","","hypothetical protein","1","1","1","91","61","686","21","","704","704","704","upec-98_00036",""
"eutJ_1","","putative chaperonin, ethanolamine utilization protein","1","1","1","91","62","686","20","","758","758","758","upec-98_00037",""
"pduL","","Phosphate propanoyltransferase","1","1","1","91","63","686","19","","686","686","686","upec-98_00038",""
"adhE_1","","pyruvate formate-lyase deactivase [multifunctional]","1","1","1","91","64","686","18","","1118","1118","1118","upec-98_00039",""
"group_785","","hypothetical protein","1","1","1","91","65","686","17","","401","401","401","upec-98_00040",""
"group_786","","hypothetical protein","1","1","1","91","66","686","16","","233","233","233","upec-98_00041",""
"group_787","","hypothetical protein","1","1","1","91","67","686","15","","350","350","350","upec-98_00042",""
"group_788","","hypothetical protein","1","1","1","91","68","686","14","","383","383","383","upec-98_00043",""
"group_789","","hypothetical protein","1","1","1","91","69","686","13","","1121","1121","1121","upec-98_00044",""
"group_790","","hypothetical protein","1","1","1","91","70","686","12","","1784","1784","1784","upec-98_00045",""
"group_791","","hypothetical protein","1","1","1","91","71","686","11","","752","752","752","upec-98_00046",""
"queC_1","","7-cyano-7-deazaguanine synthase","1","1","1","91","72","686","10","","1319","1319","1319","upec-98_00047",""
"yjjV_1","","putative DNase","1","1","1","91","73","686","9","","725","725","725","upec-98_00048",""
"group_794","","hypothetical protein","1","1","1","91","74","686","8","","575","575","575","upec-98_00049",""
"group_795","","hypothetical protein","1","1","1","91","75","686","7","","1328","1328","1328","upec-98_00050",""
"group_796","","hypothetical protein","1","1","1","91","76","686","6","","185","185","185","upec-98_00051",""
"insF-1_1","","IS3 element protein InsF","1","1","1","91","77","686","5","","542","542","542","upec-98_00052",""
"yhdH_1","","putative oxidoreductase, NAD(P)-binding","1","1","1","91","84","582","1","","347","347","347","upec-98_00054",""
"insB-1","","IS1 protein InsB","1","1","1","91","83","582","2","","359","359","359","upec-98_00055",""
"dcp_2","","dipeptidyl carboxypeptidase II","1","1","1","88","18","369","2","","503","503","503","","upec-99_00333"
"tas_2","","putative NAD(P)-linked reductase that acts in starvation-associated mutation","1","1","1","90","438","290","1","","398","398","398","upec-98_03121",""
"insA-1_1","","IS1 protein InsA","1","1","1","91","82","582","3","","272","272","272","upec-98_00056",""
"ydgI_1","","ArcD APC transporter","1","1","1","91","81","582","4","","1469","1469","1469","upec-98_00057",""
"adiA_1","","Adi","1","1","1","91","80","582","6","","2369","2369","2369","upec-98_00058",""
"ydgI_2","","ArcD APC transporter","1","1","1","91","79","582","5","","1499","1499","1499","upec-98_00059",""
"gspI","","putative protein secretion protein for export","1","1","1","81","61","115","1","","395","395","395","upec-98_00118",""
"tufA","","elongation factor Tu","1","1","1","81","1","","","","911","911","911","upec-98_00127",""
"group_806","","hypothetical protein","1","1","1","62","1","647","11","","260","260","260","upec-98_00128",""
"group_807","","hypothetical protein","1","1","1","62","2","647","10","","509","509","509","upec-98_00129",""
"group_808","","hypothetical protein","1","1","1","62","3","647","9","","347","347","347","upec-98_00130",""
"group_809","","hypothetical protein","1","1","1","62","4","647","8","","335","335","335","upec-98_00131",""
"group_810","","hypothetical protein","1","1","1","62","5","647","7","","566","566","566","upec-98_00132",""
"group_811","","hypothetical protein","1","1","1","62","6","647","6","","137","137","137","upec-98_00133",""
"group_812","","hypothetical protein","1","1","1","62","7","647","5","","875","875","875","upec-98_00134",""
"group_813","","hypothetical protein","1","1","1","62","8","647","4","","776","776","776","upec-98_00135",""
"group_814","","putative TonB-dependent receptor","1","1","1","62","9","647","3","","2261","2261","2261","upec-98_00136",""
"group_815","","hypothetical protein","1","1","1","62","11","647","2","","1175","1175","1175","upec-98_00137",""
"group_816","","hypothetical protein","1","1","1","62","10","647","1","","266","266","266","upec-98_00138",""
"ydfO","","Qin prophage; predicted protein","1","1","1","54","1","605","2","","410","410","410","upec-98_00139",""
"group_818","","hypothetical protein","1","1","1","21","1","412","2","Investigate","788","788","788","upec-98_00146",""
"group_819","","hypothetical protein","1","1","1","21","2","412","1","Investigate","950","950","950","upec-98_00147",""
"ygcE_2","","putative kinase","1","1","1","90","278","108","1","","464","464","464","upec-98_03211",""
"deoR_1","","DeoR DNA-binding transcriptional repressor","1","1","1","71","16","656","1","","782","782","782","upec-98_00150",""
"group_821","rbsK_1","ribokinase","1","1","1","71","15","656","2","","920","920","920","upec-98_00151",""
"fucP_1","","fucose:H  symporter","1","1","1","71","14","656","3","","1316","1316","1316","upec-98_00152",""
"group_823","","hypothetical protein","1","1","1","71","13","656","4","","1013","1013","1013","upec-98_00153",""
"group_824","","hypothetical protein","1","1","1","71","12","656","5","","254","254","254","upec-98_00154",""
"ulaA_1","","L-ascorbate PTS permease - UlaA subunit","1","1","1","71","11","656","6","","1256","1256","1256","upec-98_00155",""
"ulaB_1","","Ascorbate-specific phosphotransferase enzyme IIB component","1","1","1","71","10","656","7","","287","287","287","upec-98_00156",""
"sgcA_1","","PTS permease - unknown specificity","1","1","1","71","9","656","8","","443","443","443","upec-98_00157",""
"gntR_1","","GntR DNA-binding transcriptional repressor","1","1","1","71","8","656","14","","1031","1031","1031","upec-98_00158",""
"group_829","","hypothetical protein","1","1","1","71","7","656","13","","293","293","293","upec-98_00159",""
"nanE_1","","putative N-acetylmannosamine-6-phosphate epimerase","1","1","1","71","6","656","12","","689","689","689","upec-98_00160",""
"group_831","malX_1","maltose / glucose PTS permease - MalX subunit","1","1","1","71","5","656","11","","1556","1556","1556","upec-98_00161",""
"murR_1","","MurR-MurNAc-6-P","1","1","1","71","4","656","10","","824","824","824","upec-98_00162",""
"kgtP_1","","alpha-ketoglutarate:H  symporter","1","1","1","85","50","374","2","","1316","1316","1316","upec-98_00170",""
"abgA","","p-aminobenzoyl-glutamate hydrolase subunit A","1","1","1","85","56","374","1","","1166","1166","1166","upec-98_00171",""
"yjjL_1","","galactonate:H  symporter","1","1","1","85","59","384","2","","1283","1283","1283","upec-98_00174",""
"rspA_1","","mannonate/altronate dehydratase","1","1","1","85","60","384","1","","1214","1214","1214","upec-98_00175",""
"group_837","","hypothetical protein","1","1","1","85","76","19","1","","617","617","617","upec-98_00191",""
"ushA_1","","5'-nucleotidase / UDP-sugar hydrolase","1","1","1","85","80","553","4","","1553","1553","1553","upec-98_00195",""
"group_839","","hypothetical protein","1","1","1","85","79","553","5","","1124","1124","1124","upec-98_00196",""
"cysJ_1","","sulfite reductase, flavoprotein subunit","1","1","1","90","271","266","1","","776","776","776","","upec-99_00977"
"ushA_2","","5'-nucleotidase / UDP-sugar hydrolase","1","1","1","85","82","553","3","","1550","1550","1550","upec-98_00197",""
"ushA_3","","5'-nucleotidase / UDP-sugar hydrolase","1","1","1","85","83","553","2","","1619","1619","1619","upec-98_00198",""
"tsx_1","","nucleoside channel; receptor of phage T6 and colicin K","1","1","1","85","84","553","1","","860","860","860","upec-98_00199",""
"scrY","","Sucrose porin","1","1","1","85","128","359","2","","1394","1394","1394","upec-98_00239",""
"yiiE","","putative transcriptional regulator","1","1","1","85","140","593","5","","218","218","218","upec-98_00248",""
"group_845","","hypothetical protein","1","1","1","85","139","593","6","","278","278","278","upec-98_00249",""
"group_846","","hypothetical protein","1","1","1","85","138","593","4","","212","212","212","upec-98_00250",""
"higA-2","","Antitoxin igA-2","1","1","1","85","137","593","3","","290","290","290","upec-98_00251",""
"higB-2","","Toxin HigB-2","1","1","1","85","136","593","2","","311","311","311","upec-98_00252",""
"aes_1","","acetyl esterase","1","1","1","85","1","593","1","","908","908","908","upec-98_00253",""
"group_850","","hypothetical protein","1","1","1","85","30","630","1","","887","887","887","upec-98_00258",""
"shiA_1","","shikimate:H  symporter","1","1","1","85","29","630","2","","1349","1349","1349","upec-98_00259",""
"yaaU_1","","YaaU","1","1","1","85","28","630","8","","1433","1433","1433","upec-98_00260",""
"rspB_1","","putative oxidoreductase, Zn-dependent and NAD(P)-binding","1","1","1","85","27","630","7","","1010","1010","1010","upec-98_00261",""
"yihT","","putative aldolase","1","1","1","85","26","630","6","","887","887","887","upec-98_00262",""
"yihU","","succinate semialdehyde reductase","1","1","1","85","25","630","5","","878","878","878","upec-98_00263",""
"yihV","","putative sugar kinase","1","1","1","85","24","630","4","","896","896","896","upec-98_00264",""
"group_857","yihW","putative DNA-binding transcriptional regulator","1","1","1","85","23","630","3","","788","788","788","upec-98_00265",""
"group_858","","hypothetical protein","1","1","1","85","2","288","1","","185","185","185","upec-98_00275",""
"mobA_1","","molybdopterin guanine dinucleotide synthase","1","1","1","85","5","291","1","","584","584","584","upec-98_00281",""
"yfjD_1","","putative inner membrane protein","1","1","1","90","84","53","1","","341","341","341","","upec-99_01143"
"mprA_1","","MprA-CCCP","1","1","1","28","2","496","3","","500","500","500","upec-98_00286",""
"fadK_1","","short chain acyl-CoA synthetase monomer","1","1","1","1","2","344","1","Investigate","1856","1856","1856","upec-98_00288",""
"group_862","","hypothetical protein","1","1","1","1","1","344","2","Investigate","293","293","293","upec-98_00289",""
"group_863","","hypothetical protein","1","1","1","75","7","153","1","","1196","1196","1196","upec-98_00291",""
"tfaQ","","Qin prophage; predicted tail fibre assembly protein","1","1","1","41","1","544","4","","584","584","584","upec-98_00296",""
"ydfN","","Qin prophage; predicted side tail fibre assembly protein","1","1","1","41","4","544","3","","1874","1874","1874","upec-98_00297",""
"group_866","","hypothetical protein","1","1","1","41","3","544","2","","737","737","737","upec-98_00298",""
"group_867","","hypothetical protein","1","1","1","82","9","484","1","","1316","1316","1316","upec-98_00345",""
"group_868","","hypothetical protein","1","1","1","82","8","484","2","","569","569","569","upec-98_00346",""
"group_869","","hypothetical protein","1","1","1","82","50","484","3","","815","815","815","upec-98_00347",""
"salL","","Adenosyl-chloride synthase","1","1","1","82","57","252","1","","902","902","902","upec-98_00354",""
"group_871","","hypothetical protein","1","1","1","82","7","441","1","","497","497","497","upec-98_00357",""
"group_872","","hypothetical protein","1","1","1","82","6","441","2","","848","848","848","upec-98_00358",""
"group_873","","hypothetical protein","1","1","1","82","75","666","1","","257","257","257","upec-98_00370",""
"group_874","","hypothetical protein","1","1","1","82","74","666","2","","428","428","428","upec-98_00371",""
"group_875","","hypothetical protein","1","1","1","82","73","666","3","","293","293","293","upec-98_00372",""
"hxlB","","3-hexulose-6-phosphate isomerase","1","1","1","82","72","666","4","","557","557","557","upec-98_00373",""
"ptsG_1","","glucose PTS permease - PtsG subunit","1","1","1","82","77","666","5","","1508","1508","1508","upec-98_00374",""
"tktA_1","","transketolase I","1","1","1","82","78","666","6","","1997","1997","1997","upec-98_00375",""
"group_879","murR_2","MurR-MurNAc-6-P","1","1","1","82","79","666","7","","845","845","845","upec-98_00376",""
"cobS_2","","cobalamin 5'-phosphate synthase / cobalamin synthase","1","1","1","83","164","230","1","","233","233","233","","upec-99_03466"
"ydhB_1","","protein with similarity to transcriptional regulators","1","1","1","82","80","666","8","","905","905","905","upec-98_00377",""
"codB_1","","cytosine transporter","1","1","1","82","81","666","9","","1223","1223","1223","upec-98_00378",""
"atzF","","Allophanate hydrolase","1","1","1","82","82","666","10","","389","389","389","upec-98_00379",""
"yqeA_1","","putative amino acid kinase","1","1","1","82","83","666","16","","956","956","956","upec-98_00380",""
